PHÂN LOẠI VIDEO,THÔNG TIN TRÍCH XUẤT THEO LOẠI,THÔNG TIN CHUNG,row_index,THÔNG TIN TRÍCH XUẤT,phan_loai_video,thong_tin_theo_loai,thong_tin_chung,loại_video,thông_tin_loại,thông_tin_chung,thong_tin_video,REVIEW ĐỒ ĂN,NẤU ĂN,MUKBANG,KHÁC,thông_tin_chi_tiet,thong_tin_trich_xuat,thong_tin_review_do_an,thong_tin_loai,error,PHAN_LOAI_VIDEO,THONG_TIN_THEO_LOAI,THONG_TIN_CHUNG,THÔNG TIN BỔ SUNG,thong_tin_khac,video_type,category_info,general_info,PHÂN LOẠI VIDEO (dự phòng - nội dung chính khác với phân loại),THÔNG TIN TRÍCH XUẤT THEO LOẠI (dự phòng - nội dung chính khác với phân loại),THÔNG TIN KHÁC,loai_video,OUTPUT_FORMAT,Lý do phân loại Review đồ ăn,Lý do chọn 'ngoài đường' làm địa điểm,Lưu ý về 'tên_quán',review_info,nau_an_info,mukbang_info,khac_info,THONG_TIN_TRICH_XUAT,Phân loại video,Thông tin trích xuất,Thông tin chung,thông_tin_trích_xuất,message,extracted_info,common_info,phân_loại_video,thông_tin_theo_loại,phan_tich_them,thong_tin_nau_an,thong_tin_mukbang,thong_tin,LƯU Ý,thông_tin_chi_tiết,ghi_chu,1. PHÂN LOẠI VIDEO,2. THÔNG TIN TRÍCH XUẤT THEO LOẠI,3. THÔNG TIN CHUNG
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'mì xào xúc xích', 'món_phụ': None, 'nguyên_liệu': ['mì gói', 'xúc xích', 'hành tím', 'dầu ăn', 'sốt xào', 'xì dầu'], 'đánh_giá': 'tích cực'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': 1}",979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,,"{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",980,"{'NẤU ĂN': {'món_chính': ['lẩu hột vịt lộn'], 'món_phụ': [], 'nguyên_liệu': ['hột vịt lộn', 'nấm rơm', 'sườn', 'bí đao', 'mướp hương', 'mồng tơi', 'rau răm', 'xương gà', 'hành', 'tỏi', 'bột ngọt', 'hạt nêm', 'nước mắm', 'nước dừa', 'muối tiêu', 'ớt', 'tắc'], 'đánh_giá': 'tích cực'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mukbang,"{'MUKBANG': {'món_chính': ['viên hải sản phô mai'], 'số_người': 'không đề cập', 'đánh_giá': 'trung lập'}}","{'giá_cả': 'không đề cập', 'tên_quán': 'không đề cập', 'giờ_hoạt_động': 'không đề cập', 'số_người': 'không đề cập'}",981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'Review sản phẩm lưu niệm', 'từ_khóa': ['túi không khí trong tù', 'sản phẩm lưu niệm', 'trải nghiệm', 'mùi', 'lừa đảo'], 'tóm_tắt': ""Video review sản phẩm 'túi không khí trong tù', người trải nghiệm cảm thấy không có mùi và cho rằng mình bị lừa, khuyên người xem không nên mua và nên đi tù để trải nghiệm thật.""}}","{'giá_cả': '969.000đ', 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': 1}",983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['bánh taco'], 'địa_điểm': ['tiệm bánh nhà phô mai tiệm ăn đặt cho mọi người ngoài đời'], 'đánh_giá': 'tiêu cực'}}","{'giá_cả': '135 cành', 'tên_quán': 'nhà phô mai tiệm ăn đặt cho mọi người ngoài đời', 'giờ_hoạt_động': None, 'số_người': 1}",984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['bánh mì thịt nướng', 'thịt nướng', 'bánh mì'], 'địa_điểm': ['thiên lư'], 'đánh_giá': 'tích cực'}}","{'giá_cả': None, 'tên_quán': 'bánh mì quang béo', 'giờ_hoạt_động': 'chiều từ 3:00 đến 8:00', 'số_người': None}",985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mukbang,"{'món_chính': ['xiên sạch', 'đậu phô mai', 'súp sao', 'bồ đả lô'], 'số_người': None, 'đánh_giá': 'tích cực'}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['trứng gà lộn luộc', 'ớt'], 'địa_điểm': 'khu chợ ở Nhật', 'đánh_giá': 'tiêu cực'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': 1}",987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': ['bún bò', 'chả quế'], 'món_phụ': [], 'nguyên_liệu': ['ức gà', 'thịt heo', 'nước mắm', 'nước lạnh', 'dầu ăn', 'đường', 'bột nêm gà', 'bột nổi', 'tinh bột khoai tây', 'thịt bò (cho bún bò)', 'khóm', 'hành tây', 'sả', 'gói gia vị bún bò', 'rau muống'], 'đánh_giá': 'tích cực'}}","{'giá_cả': ['khóm: 3 bịch 10.000'], 'tên_quán': [], 'giờ_hoạt_động': [], 'số_người': ['gia đình (4 người - người mẹ, người cha, 2 con)']}",988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,,"{'giá_cả': [], 'tên_quán': [], 'giờ_hoạt_động': [], 'số_người': []}",989,"{'REVIEW ĐỒ ĂN': {'món_chính': ['bưởi', 'gà luộc baby'], 'địa_điểm': [], 'đánh_giá': 'tích cực'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['xúc xích con heo vàng', 'xúc xích sài gòn'], 'địa_điểm': ['không rõ'], 'đánh_giá': 'tích cực'}}","{'giá_cả': '100.000 VNĐ/10 cây (10.000 VNĐ/cây)', 'tên_quán': 'không rõ', 'giờ_hoạt_động': 'không rõ', 'số_người': '1'}",990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,991,,,,,Nấu ăn,"{'món_chính': ['trứng hồng đào tan chảy', 'trứng hồng đào'], 'món_phụ': ['muối ớt'], 'nguyên_liệu': ['trứng', 'muối', 'ớt'], 'đánh_giá': ['tích cực']}",{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,992,,Mukbang,"{'mukbang': {'mon_chinh': ['trứng hột vịt giữa nướng', 'muối ớt đâm cay'], 'so_nguoi': None, 'danh_gia': 'tích cực'}}","{'gia_ca': '15 hộp trứng hột vịt giữa 45 cành', 'ten_quan': None, 'gio_hoat_dong': None, 'so_nguoi': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'Review sản phẩm xịt thơm miệng', 'từ_khóa': ['xịt thơm miệng', 'hôi miệng', 'kem dừa', 'cà phê', 'tự tin'], 'tóm_tắt': 'Người nói review sản phẩm xịt thơm miệng, nhấn mạnh công dụng khử mùi hôi miệng, đặc biệt sau khi đói hoặc ăn đồ nặng mùi, và giới thiệu các mùi hương như kem dừa và cà phê, mang lại sự tự tin khi giao tiếp.'}}",{},993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'Không xác định', 'từ_khóa': ['hmm', 'ngắn', 'phi ẩm thực'], 'tóm_tắt': 'Transcript rất ngắn, không cung cấp thông tin cụ thể về chủ đề video ẩm thực.'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,995,,,,,,,,,,,,,,,,,,Mukbang,,"{'gia_ca': None, 'ten_quan': None, 'gio_hoat_dong': None, 'so_nguoi': None}",,,,,,,,,,,,,,,,,,"{'MUKBANG': {'mon_chinh': ['viên cam cam', 'viên hồ lô'], 'so_nguoi': None, 'danh_gia': 'tích cực'}}",,,,,,,,,,,,,,,,,,,
,,,996,,Review đồ ăn,,{},,,,,,,,,,"{'loai_review_do_an': {'mon_chinh': 'lạp xưởng hàng khẩu', 'dia_diem': None, 'danh_gia': 'tích cực'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nấu ăn,"{'Nấu ăn': {'món_chính': ['bò cháy tỏi', 'cơm chiên trứng muối'], 'món_phụ': [], 'nguyên_liệu (bò cháy tỏi)': ['thịt bò (thuẩn bò hoặc vai bò)', 'tỏi', 'bột bắp (hoặc bột năng, bột chiên giòn)', 'dầu hào', 'tương ớt', 'nước tương', 'nước lọc', 'tiêu xanh', 'hành tây', 'ớt (tùy chọn)'], 'nguyên_liệu (cơm chiên trứng muối)': ['cơm nguội', 'trứng muối', 'trứng gà', 'tỏi', 'hành lá', 'tiêu'], 'đánh_giá': 'tích cực'}}","{'giá_cả': 'thịt bò: 300.000đ/ký (mua nửa ký 150.000đ)', 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'Tình yêu và sự cô đơn', 'từ_khóa': ['yêu', 'cô đơn', 'nỗi sầu', 'bờ vai', 'tình yêu'], 'tóm_tắt': 'Bài hát thể hiện tâm trạng cô đơn, mong muốn có được tình yêu và sự chia sẻ, bất chấp những đau khổ có thể đến.'}}",{},998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1000,,Nấu ăn,"{'mon_chinh': 'sườn cay nấu rau húng quế', 'mon_phu': 'miếng đậu xanh', 'nguyen_lieu': ['sườn non', 'rau húng quế', 'miếng đậu xanh phú hương', 'tỏi', 'ớt', 'muối', 'hành', 'bột nêm', 'đường', 'nước mắm', 'dầu ăn', 'nước sôi'], 'danh_gia': 'tích cực'}",{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['mẹt bánh mì miền tây', 'bánh mì', 'bánh bao', 'chuối', 'sữa trái cây Nutriboost'], 'địa_điểm': [], 'đánh_giá': 'tích cực'}}","{'giá_cả': [], 'tên_quán': [], 'giờ_hoạt_động': [], 'số_người': []}",1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mukbang,,"{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': 2}",1002,"{'loại_video': 'Mukbang', 'thông_tin_mukbang': {'món_chính': ['xiên cá hồi', 'xiên mặt cười', 'đậu phụ phô mai', 'xiên thơm vị mực'], 'số_người': 2, 'đánh_giá': 'tích cực'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': ['thịt khìa nước dừa', 'cơm chiên'], 'món_phụ': ['đậu hũ', 'canh rau ngót'], 'nguyên_liệu': ['thịt dăm đầu giòn', 'tỏi', 'hành tím', 'nước mắm', 'đường', 'tiêu xay', 'tương ớt Chin-Su', 'nước dừa', 'cơm'], 'đánh_giá': 'tích cực'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['hồng socola'], 'địa_điểm': [], 'đánh_giá': ['tiêu cực (ban đầu: cứng, ngấy, bột, ngán, khô hốc), tích cực (sau khi thêm sữa đặc: ngon giống socola, phù hợp, cuốn)']}}","{'giá_cả': ['500 cành'], 'tên_quán': [], 'giờ_hoạt_động': [], 'số_người': [1]}",1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'nước sốt', 'món_phụ': None, 'nguyên_liệu': ['thịt thăn xương ống', 'tủy'], 'đánh_giá': 'tích cực'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1006,,Review đồ ăn,,"{'gia_ca': ['5.000 bánh mì', '5.000 xôi'], 'ten_quan': [], 'gio_hoat_dong': [], 'so_nguoi': []}",,,,,,,,,,"{'review_do_an': {'mon_chinh': ['bánh mì kẹp xôi', 'bánh mì kẹp kem'], 'dia_diem': [], 'danh_gia': 'hỗn hợp, ban đầu tiêu cực sau đó trung lập. Ban đầu người nói có vẻ không muốn thử và nghĩ món ăn dở, nhưng sau khi ăn thì nhận xét không quá tệ, ở mức chấp nhận được.'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['thịt luộc', 'mắm dưa', 'đu đủ', 'cà pháo', 'củ kiệu'], 'địa_điểm': 'nhà ô loan', 'đánh_giá': 'tích cực'}}","{'giá_cả': '1 kí (mắm dưa)', 'tên_quán': 'nhà ô loan', 'giờ_hoạt_động': None, 'số_người': None}",1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['phở bò gầu giòn', 'bắp gầu giòn'], 'địa_điểm': ['Văn Quán', 'Hà Đông', 'Hà Nội'], 'đánh_giá': 'tích cực'}}","{'tên_quán': 'Phở Bò Hùng Râu', 'giá_cả': None, 'giờ_hoạt_động': None, 'số_người': 1}",1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'chân gà trứng non sốt thái', 'món_phụ': None, 'nguyên_liệu': ['chân gà', 'trứng non', 'gừng', 'nước đá', 'sốt thái', 'muối ớt đỏ'], 'đánh_giá': 'tích cực'}}","{'giá_cả': None, 'tên_quán': 'Sốt thái và nước chấm của anh hai', 'giờ_hoạt_động': None, 'số_người': None}",1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['xúc xích đức', 'bánh xoắn', 'fanta', 'socola', 'kẹo dẻo haribo'], 'địa_điểm': '', 'đánh_giá': 'tích cực'}}","{'giá_cả': 'mắc', 'tên_quán': '', 'giờ_hoạt_động': '', 'số_người': '1'}",1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1011,,,,,Khác,"{'chủ_đề': 'Tình yêu và sự chia ly', 'từ_khóa': ['tình yêu', 'chia ly', 'hy vọng', 'nhớ nhung', 'định mệnh'], 'tóm_tắt': 'Đoạn transcript thể hiện tâm trạng nhớ nhung và hy vọng trong tình yêu, dù có thể phải chia xa nhưng vẫn mong có ngày gặp lại và tin vào điều kỳ diệu của tình yêu.'}",{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'Giới thiệu và thử bánh khảo/oản đường bốn màu', 'từ_khóa': ['bánh khảo', 'oản đường', 'bốn màu', 'vị', 'lễ tết'], 'tóm_tắt': 'Video giới thiệu và thử bánh khảo/oản đường bốn màu (xanh, đỏ, vàng, tím) để cảm nhận hương vị khác nhau, món ăn truyền thống dịp lễ tết.'}}",{},1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': 'milo trà xanh không độ mix', 'địa_điểm': None, 'đánh_giá': 'trung lập'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['matcha nhật bản', 'bánh phô mai', 'sữa chua', 'bánh', 'xúc xích lạp xưởng nướng', 'trà sữa', 'cà phê', 'trà hoa quả', 'matcha', 'bánh ngọt', 'bánh tạt trứng', 'bánh sầu riêng', 'sôcola nhập khẩu', 'há cảo', 'trà sữa malaysia', 'nước lẩu'], 'địa_điểm': 'Hà Nội, trung tâm triển lãm quốc tế ICE, 91 Trần Hưng Đạo, Hoàn Kiếm', 'đánh_giá': 'tích cực'}}","{'giá_cả': 'miễn phí', 'tên_quán': 'Triển lãm ẩm thực miễn phí', 'giờ_hoạt_động': '6-9 tháng 11, Workshop 7 tháng 11, 13:00-16:00', 'số_người': None}",1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1015,,,,{},Khác,,,,,,,,,,,"{'chu_de': 'Bài hát tâm trạng buồn, chia ly', 'tu_khoa': ['sầu', 'xa nhau', 'phai màu', 'hư không', 'biển rộng'], 'tom_tat': 'Video transcript này là lời bài hát thể hiện tâm trạng buồn bã, mất mát trong tình yêu, sự chấp nhận chia ly và cảm giác vô định về tương lai.'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': 'cua dẹp lý sơn', 'địa_điểm': None, 'đánh_giá': 'tích cực'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['bí thiên nga'], 'địa_điểm': [], 'đánh_giá': 'tiêu cực'}}","{'giá_cả': '35.000', 'tên_quán': [], 'giờ_hoạt_động': [], 'số_người': []}",1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,,"{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",1019,"{'NẤU ĂN': {'món_chính': 'gà hấp hột dình lộn', 'món_phụ': [], 'nguyên_liệu': ['gà', 'hột dình lộn'], 'đánh_giá': 'trung lập'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'Nỗi nhớ và chờ đợi, liên quan đến gia đình và có thể là ẩm thực/nông sản.', 'từ_khóa': ['nhớ', 'chờ đợi', 'mẹ', 'lúa', 'môn'], 'tóm_tắt': ""Đoạn transcript thể hiện tâm trạng nhớ nhung da diết và sự chờ đợi kéo dài, có nhắc đến mẹ và một số từ ngữ liên quan đến ẩm thực hoặc nông sản như 'môn', 'lúa'.""}}",{},1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,,{},1021,"{'loại_video': 'REVIEW ĐỒ ĂN', 'thông_tin': {'món_chính': ['bơ thực vật'], 'địa_điểm': [], 'đánh_giá': 'tiêu cực'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1022,,,,,Review đồ ăn,,"{'giá_cả': 'không rõ', 'tên_quán': 'không rõ', 'giờ_hoạt_động': 'không rõ', 'số_người': 'không rõ'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'món_chính': ['không rõ'], 'địa_điểm': ['không rõ'], 'đánh_giá': 'trung lập'}",,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'cua nau hấp muối ớt đỏ', 'món_phụ': [], 'nguyên_liệu': ['cua nau', 'muối ớt đỏ'], 'đánh_giá': 'trung lập'}}","{'giá_cả': None, 'tên_quán': 'thích muối (nhà cung cấp muối ớt)', 'giờ_hoạt_động': None, 'số_người': '4'}",1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mukbang,"{'MUKBANG': {'món_chính': ['xiên sạch', 'xiên Việt Nam', 'lạp sườn nướng'], 'số_người': None, 'đánh_giá': 'trung lập'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1025,,Review đồ ăn,"{'mon_chinh': 'kẹo mạch nha', 'dia_diem': None, 'danh_gia': 'trung lập'}","{'gia_ca': None, 'ten_quan': None, 'gio_hoat_dong': None, 'so_nguoi': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'cá lóc kiếng hấp muối', 'món_phụ': None, 'nguyên_liệu': ['cá lóc kiếng', 'muối', 'xả (đề cập phương pháp hấp xả)'], 'đánh_giá': 'tích cực'}}","{'giá_cả': '40 cành một ký (400.000 VND/kg) cho cá lóc kiếng', 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': ""không rõ (người nói và có thể có người khác 'ăn chung')""}",1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'Tình yêu và Thiên nhiên', 'từ_khóa': ['thiên nhiên', 'tình yêu', 'lãng mạn', 'biển', 'hoàng hôn'], 'tóm_tắt': 'Bài thơ lãng mạn về tình yêu và thiên nhiên, tập trung vào khoảnh khắc ngọt ngào của cặp đôi bên bờ biển, hoàng hôn và những lời hứa hẹn tình yêu vĩnh cửu.'}}",{},1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'thịt heo ngâm bia', 'món_phụ': 'hải sản tôm ghẹ hấp', 'nguyên_liệu': ['thịt heo nạc dăm', 'bia', 'hành lá', 'hành tím', 'tỏi', 'nước tương', 'tôm', 'ghẹ'], 'đánh_giá': 'tích cực'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",1028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': ""Giới thiệu và thử món 'tóc tiên'"", 'từ_khóa': ['tóc tiên', 'món lạ', 'súp cua', 'chè', 'bổ dưỡng'], 'tóm_tắt': ""Đoạn hội thoại giữa mẹ và con về việc thử một món ăn mới có tên 'tóc tiên', có hình dạng giống tóc nhưng được giới thiệu là bổ dưỡng và ngon khi nấu súp hoặc chè. Ban đầu mẹ e ngại vì hình dạng của món ăn, nhưng sau đó đã được con thuyết phục thử.""}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': 2}",1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['chocolate bomb matcha', 'chocolate bomb ca cao'], 'địa_điểm': ['i12 hồng lĩnh', 'tiệm cà phê (bông tím)'], 'đánh_giá': 'trung lập'}}","{'giá_cả': ['i12 hồng lĩnh: 89 cành/set (sữa + chocolate bomb)', 'tiệm cà phê: 90 cành/set (sữa + chocolate bomb)'], 'tên_quán': ['i12 hồng lĩnh', 'tiệm cà phê (bông tím)', 'quán Giang'], 'giờ_hoạt_động': None, 'số_người': 1}",1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'sức khỏe tâm lý và sự mất mát', 'từ_khóa': ['sức khỏe tâm lý', 'mất mát', 'bạn bè', 'quan tâm', 'chia sẻ'], 'tóm_tắt': 'Video chia sẻ về sự mất mát của người nói đối với bạn bè do vấn đề tâm lý và nhấn mạnh tầm quan trọng của sức khỏe tâm lý, kêu gọi mọi người quan tâm đến vấn đề này.'}}",{},1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nấu ăn,"{'NẤU ĂN': {'món_chính': 'vịt lộn hấp muối', 'món_phụ': 'muối ớt', 'nguyên_liệu': ['trứng vịt lộn', 'muối hột', 'sả', 'rau răm'], 'đánh_giá': 'tích cực'}}","{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'Tâm trạng thất tình và tự ti về bản thân trong tình yêu', 'từ_khóa': ['tình yêu', 'thất vọng', 'tự ti', 'đam mê', 'xe đạp'], 'tóm_tắt': 'Cô gái thể hiện sự thất vọng trong tình yêu, cảm thấy tự ti và chán nản về tình trạng hiện tại của mình so với những người khác có vẻ thành công hơn trong tình yêu và vật chất.'}}",{},1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['búp phê xiên que', 'xiên que', 'cá viên xiên que', 'đồ ăn kèm', 'tương chấm', 'rau dưa', 'trái cây', 'mì gói', 'trà chanh', 'trà sữa', 'nước suối', 'nước ngọt', 'chè', 'trân châu'], 'địa_điểm': [], 'đánh_giá': 'tích cực'}}","{'giá_cả': ['búp phê xiên que 69k', 'búp phê nước 25k', 'nước gọi món 10-15k'], 'tên_quán': 'Quán Trang', 'giờ_hoạt_động': '15 giờ hàng ngày', 'số_người': []}",1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
